analysis_id,5u1ps085z59s90x
pvalue,0.5112669
gene_accession_id,MGI:1915524
parameter_name,Potassium
mouse_strain,C57BL
parameter_id,GMC_906_001_005
gene_symbol,Toporsl
mouse_life_stage,Early adult
