gene_symbol,Atg4c
parameter_id,IMPC_HWT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
analysis_id,4326zvzv0svjofw
mouse_strain,C57BL
parameter_name,Heart weight
pvalue,0.7789678
