analysis_id,xq3vnfrsk486279
gene_accession_id,MGI:1914515
mouse_strain,C57BL
parameter_id,IMPC_IMM_069_001
pvalue,0.4756785
parameter_name,Transitional B Cells (CD21/35 low)
gene_symbol,Slc39a10
mouse_life_stage,E9.5
