gene_symbol,Clvs1
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
mouse_strain,C57BL
analysis_id,5g0lfu82sq27n06
parameter_name,Total T cell percentage
pvalue,0.07635091
