analysis_id,b86bl9f0w2i02s2
mouse_strain,C57BL
gene_symbol,Cntfr
pvalue,0.5477323
parameter_name,Eye
gene_accession_id,MGI:99605
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
