Analysis_id,txhuc9k478cj5rv
Mouse_life_stage,Early adult
pvalue,0.7190515
Parameter_name,RR
Gene_symbol,Arnt
Gene_accession_id,MGI:88071
Mouse_strain,C57BL
Parameter_id,IMPC_ECG_004_001
