mouse_strain,C57BL
analysis_id,8i31s554s7351al
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
pvalue,0.0876442
mouse_life_stage,Early adult
