gene_accession_id,MGI:1923959
gene_symbol,Arpc2
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,MGP_PBI_016_001
pvalue,0.8602511
parameter_name,Monocyte percentage
analysis_id,r5t7u46420o1e0n
