analysis_id,6273ud7hx1c8f3m
parameter_id,MGP_PBI_011_001
pvalue,0.3637789
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell percentage
mouse_life_stage,E9.5
