analysis_id,ozzsalbo7pvw8c1
mouse_life_stage,Early adult
gene_symbol,Stk35
pvalue,0.956249
gene_accession_id,MGI:1914583
parameter_id,MGP_PBI_027_001
parameter_name,NK cell number
mouse_strain,C57BL
