parameter_id,JAX_SLW_014_001
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
gene_symbol,Abo
mouse_strain,C57BL
analysis_id,qhxg1rz6gvgo62i
pvalue,0.3248748
parameter_name,Breath rate during sleep standard deviation
