gene_symbol,Lcn2
parameter_id,IMPC_HWT_008_001
pvalue,0.07160535
analysis_id,1q114ft14xchk6p
parameter_name,Heart weight
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
