gene_symbol,Tiprl
mouse_strain,C57BL
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
analysis_id,3sf08k68pb0pc22
gene_accession_id,MGI:1915087
pvalue,0.6339559
