gene_symbol,Usp37
pvalue,0.9069278
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_018_001
analysis_id,13uf26b4499nyv7
parameter_name,Shape of vertebrae
gene_accession_id,MGI:2442483
