analysis_id,n8j94q7s00zvq8j
pvalue,0.1073288
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_name,Ly6Clow monocyte number
mouse_life_stage,Late adult
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:2446274
