parameter_name,Vibrissae - appearance
gene_symbol,Ahcy
mouse_life_stage,E12.5
parameter_id,HMGULA_DYS_024_001
pvalue,0.1018626
analysis_id,d113i7c0820w8z4
mouse_strain,C57BL
gene_accession_id,MGI:87968
