mouse_strain,C3H
parameter_name,Corneal opacity
mouse_life_stage,Early adult
pvalue,0.9817556
parameter_id,IMPC_EYE_008_001
analysis_id,en1ux22145hwb20
gene_symbol,Mecom
gene_accession_id,MGI:95457
