parameter_name,Hemoglobin
mouse_life_stage,E9.5
analysis_id,pi2veow42h7w0lr
gene_accession_id,MGI:97838
pvalue,0.4028627
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_id,IMPC_HEM_003_001
