parameter_id,MGP_BMI_019_001
pvalue,0.36233
analysis_id,eh903i944m9h9tv
parameter_name,T cells - % of CD45+
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
mouse_strain,C57BL
gene_symbol,Fgb
