analysis_id,h522wat754s832a
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
pvalue,0.8238589
gene_symbol,Lcn2
parameter_name,CD8+ alpha beta T cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
