parameter_name,NKT cells (panel A)
mouse_life_stage,Early adult
pvalue,0.1413278
gene_accession_id,MGI:106100
gene_symbol,Etfdh
parameter_id,IMPC_IMM_004_001
mouse_strain,C57BL
analysis_id,spc4w4rj6vugf30
