analysis_id,1p82v0hquhnj7e7
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.9986741
parameter_id,MGP_MLN_093_001
gene_symbol,Nanp
mouse_life_stage,E18.5
