parameter_name,Corneal vascularization
mouse_strain,C57BL
parameter_id,IMPC_EYE_009_001
analysis_id,9fhsunc5r3j5na5
gene_symbol,Hpca
pvalue,0.8418871
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
