parameter_id,ICS_FEA_019_001
pvalue,0.5144693
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,E15.5
analysis_id,anqrcez7696hrg7
mouse_strain,C57BL
parameter_name,% Freezing duration pre-cue-2
