parameter_name,Corneal vascularization
gene_symbol,Dnajc8
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,is0zo3x5gir2vzc
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:1915848
pvalue,0.0549827
