parameter_name,Cleft palate
pvalue,0.6001754
parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
analysis_id,177iz2pti9234vy
gene_accession_id,MGI:109356
