gene_symbol,Med22
analysis_id,9f36at203v0u12g
pvalue,0.8691388
parameter_id,IMPC_EYE_001_001
mouse_life_stage,Early adult
parameter_name,Eye
mouse_strain,C57BL
gene_accession_id,MGI:98446
