analysis_id,69m50u023f00pd1
parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
gene_accession_id,MGI:1913405
pvalue,0.3179482
mouse_life_stage,Early adult
gene_symbol,Ufc1
parameter_id,IMPC_CBC_012_001
