mouse_life_stage,E9.5
Gene_accession_id,MGI:95835
gene_symbol,Hspa5
Parameter_id,IMPC_GPO_002_001
Analysis_id,py5exi9691i4l49
pvalue,0.81021
Parameter_name,Placenta Morphology
Mouse_strain,C57BL
