analysis_id,zf4m2y53z8bpt4y
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
gene_symbol,AU040320
mouse_strain,C57BL
pvalue,0.8631029
