parameter_name,Retina (combined)
gene_symbol,Cdin1
mouse_strain,C57BL
gene_accession_id,MGI:3026886
analysis_id,4bk37k09owp7v54
mouse_life_stage,Early adult
parameter_id,JAXLA_EYE_092_001
pvalue,0.9304304
