analysis_id,9q06v79p7q46mmm
gene_symbol,Fgb
mouse_life_stage,Early adult
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:99501
mouse_strain,C57BL
pvalue,0.05584859
