parameter_name,Hindlimb digit - size
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9421767
gene_accession_id,MGI:88328
analysis_id,y8pxoo76zg39b8f
gene_symbol,Tnfsf8
parameter_id,IMPC_CSD_047_001
