parameter_name,Fractional Shortening
parameter_id,IMPC_ECH_005_001
analysis_id,6994fo6501r97ir
gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
pvalue,0.3360925
