analysis_id,171du8c62sk7613
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kif24
parameter_id,M-G-P_009_001_003
pvalue,0.541441
gene_accession_id,MGI:1918345
parameter_name,Body weight
