parameter_name,Sacral processes
analysis_id,rf2k1q88g10wf2t
mouse_strain,C57BL
pvalue,0.7964612
gene_accession_id,MGI:99501
parameter_id,IMPC_XRY_066_001
mouse_life_stage,Early adult
gene_symbol,Fgb
