gene_symbol,Frmpd1
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
analysis_id,3s5e99qqj533956
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
gene_accession_id,MGI:2446274
pvalue,0.4394422
