analysis_id,10tbr0629xwx70j
pvalue,0.8815121
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_007_001
gene_symbol,Inpp1
mouse_strain,C57BL
gene_accession_id,MGI:104848
