parameter_name,Vocalization
analysis_id,l9840zemu333055
mouse_life_stage,Early adult
gene_symbol,Psmd14
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
gene_accession_id,MGI:1913284
pvalue,0.8642326
