parameter_name,Radius
pvalue,0.5640806
analysis_id,y024kj6w2mdk764
gene_symbol,Ahcy
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:87968
mouse_life_stage,E12.5
mouse_strain,C57BL
