analysis_id,518pzp07foswsr4
gene_symbol,Snap23
parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
pvalue,0.5088344
gene_accession_id,MGI:109356
mouse_strain,C57BL
