gene_symbol,Sgip1
mouse_strain,C57BL
parameter_name,110dB startle magnitude
parameter_id,ESLIM_011_001_006
analysis_id,3x597t8f065815p
pvalue,0.6734604
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
