gene_symbol,Casq1
analysis_id,g4uqw2v7o91i455
pvalue,0.6040891
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1309468
parameter_name,Tibia length
