parameter_name,110dB startle magnitude
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.2253434
gene_symbol,Lpgat1
analysis_id,gwnx4p1517k20hs
parameter_id,ESLIM_011_001_006
mouse_life_stage,Middle aged adult
