analysis_id,2703b0pb1p2k97q
gene_symbol,AU040320
pvalue,0.8978753
parameter_id,IMPC_FEA_106_001
mouse_strain,C57BL
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_life_stage,Early adult
gene_accession_id,MGI:2140475
