gene_symbol,Ntmt2
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_life_stage,Early adult
analysis_id,545x2u172216i60
parameter_id,MGP_IMM_036_001
gene_accession_id,MGI:2685053
mouse_strain,C57BL
pvalue,0.9139387
