parameter_name,White blood cell-count
mouse_life_stage,Early adult
gene_symbol,Ddx27
mouse_strain,129SV
gene_accession_id,MGI:2385884
parameter_id,M-G-P_016_001_001
analysis_id,xs2rw828c44ki25
pvalue,0.8021904
