parameter_name,Facial Morphology
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_017_001
gene_symbol,Golm2
mouse_strain,C57BL
pvalue,0.8955233
analysis_id,qn2g1b438ch357b
