parameter_name,Vitreous
pvalue,0.09098421
gene_accession_id,MGI:1927379
analysis_id,lb28cm76zyn863h
gene_symbol,Rhbg
mouse_life_stage,Early adult
parameter_id,UCDLA_EYE_083_001
mouse_strain,C57BL
