gene_symbol,Tox
mouse_strain,C57BL
pvalue,0.358355
gene_accession_id,MGI:2181659
analysis_id,e3ll8071971x1r8
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
parameter_name,Hindlimbs - shape
