parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:105073
parameter_name,BMC/Body weight
gene_symbol,Tnni1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,c00ndyap84f1wh9
pvalue,0.3828404
