gene_symbol,Ddx27
mouse_strain,129SV
parameter_name,Startle Response
pvalue,0.1137392
mouse_life_stage,Early adult
analysis_id,4i83px3vixdkq5c
parameter_id,M-G-P_008_001_013
gene_accession_id,MGI:2385884
