parameter_name,Whole arena average speed
parameter_id,IMPC_OFD_009_001
mouse_life_stage,Early adult
gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_strain,C57BL
analysis_id,usk7o28pe8bj1nx
pvalue,0.6941117
