parameter_name,Spleen weight
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:1929242
mouse_strain,C57BL
gene_symbol,Ivd
analysis_id,akb650sa3d08vc9
pvalue,0.2305679
