parameter_name,Bone Area
gene_symbol,Hspa5
pvalue,0.283212
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_id,IMPC_DXA_010_001
analysis_id,oz0x7n56t17xgt7
mouse_life_stage,Early adult
