parameter_name,Hindlimb nail - number
pvalue,0.2076736
gene_accession_id,MGI:88461
mouse_strain,C57BL
analysis_id,88xp819b3490x64
gene_symbol,Col6a3
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
