mouse_strain,C57BL
gene_accession_id,MGI:1913483
analysis_id,d73g3z4sq8w67sd
mouse_life_stage,E9.5
gene_symbol,Dmap1
parameter_name,Skull shape
pvalue,0.6028262
parameter_id,IMPC_XRY_001_001
