analysis_id,rs9j480c0ju300b
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
pvalue,0.3888449
parameter_id,IMPC_EYE_001_001
parameter_name,Eye
gene_symbol,Arnt
mouse_strain,C57BL
