parameter_name,Ly6Clow monocyte number
analysis_id,u80micskn164y0q
gene_symbol,Trpa1
mouse_strain,C57BL
parameter_id,MGP_PBI_038_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
pvalue,0.06813667
