gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
analysis_id,38t18b05y4cplai
mouse_life_stage,E12.5
pvalue,0.7439964
parameter_id,IMPC_CBC_013_001
parameter_name,Alanine aminotransferase
