analysis_id,524hef0316u2t30
gene_symbol,Col6a3
mouse_strain,C57BL
pvalue,0.2395106
parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_name,% Freezing duration pre-cue-2
