parameter_name,Hindlimb digit - size
pvalue,0.08270601
gene_symbol,Zmynd8
mouse_strain,129SV
parameter_id,IMPC_CSD_047_001
analysis_id,6432j2030644868
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
