analysis_id,736x549xyqlbs26
mouse_life_stage,Early adult
gene_symbol,Ints7
pvalue,0.420359
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_name,% Pre-pulse inhibition - PPI4
