parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:87968
pvalue,0.2822466
parameter_name,Neural tube morphology
mouse_life_stage,E12.5
gene_symbol,Ahcy
mouse_strain,C57BL
analysis_id,6043z2n7l7012a4
